gene_symbol,GSM1020099,GSM1020100,GSM1020101,GSM1020102,GSM1020103,GSM1020104,GSM1020105,GSM1020106
A1BG,5.22129261786671,4.88531469833574,4.82168616780707,5.05661406924705,4.99938011882617,5.32288464092681,5.27570790792434,4.95399287882165
A1BG-AS1,4.38922358843732,4.48309980039047,4.3006663809054,4.60157192510624,4.32181761854944,4.37962039948791,4.05417695055125,4.0634221236243
A1CF,4.77903640250765,4.27160003094949,4.30750175777505,4.57317348944907,4.56647696959158,4.50144800673053,4.58771757089696,4.95498304013428
A2M,9.61956244687426,10.1785118658948,9.87616679744925,9.07095368131507,9.55222034751542,9.7189896910203,10.2095227707521,9.19794066294097
A2M-AS1,3.79419559043053,4.35905312229068,3.85468725251988,3.64663152334626,3.8513229055476,4.47137311822501,4.16372257657492,3.46170028492167
A2ML1,5.2201254800077,9.43812396292056,4.74639512521492,5.20601259186039,7.38495116293377,7.33403077183441,6.39871540980355,9.77519732641517
A2MP1,3.74245256086816,3.52108025075821,3.52991290459344,3.77509250245408,3.75857784098845,3.71779078067635,3.68564095932521,4.04401334770249
A4GALT,6.0059601329239,6.48742495930247,6.18734154609936,6.23498424251447,6.67152034490731,7.121450462705,6.33454609709188,6.21140700479822
A4GNT,3.64340837908202,3.79730339699702,3.58121553768602,3.87162629022628,3.5803076202764,3.57465984844051,3.50461517979801,3.8830861496374
AA06,4.48500106240566,4.44090675887157,4.4066933220199,4.44516828926748,4.44681298823428,4.92422898120803,4.59798223058284,4.79829749089454
AAAS,7.15895468540764,7.09558007418147,7.1180469131657,7.31680749038135,6.86268596049088,7.27069156460894,7.18032674781186,7.1076408799631
AACS,8.07916056680897,8.42326875039521,8.02977275890508,8.69819051293148,8.30989276347781,7.75850637022383,7.90175265181402,8.69644264179396
AACSP1,3.40528690159946,3.23959859008093,3.04069983262765,3.11271308522212,3.33195210488282,3.68442982258013,3.17188582243654,3.13104417806949
AADAC,3.73948088858944,6.20984675281062,4.03395214413032,4.07469240411422,4.110806823563,4.70697191333414,4.15383812894706,7.12387027977818
